feats,r2_train,rmse_train,mape_train,mean_std_train,r2_test,rmse_test,mape_test,mean_std_test,adj_r2_test
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar']",0.7961563825310407,0.6012292110781357,0.16808916539058788,0.12689845580126688,0.730580964096119,0.6538040455219613,0.1725673383612989,0.13756396843269292,0.7275332374456225
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol']",0.821543107714471,0.5625461759916555,0.1577968344728154,0.12544028817844072,0.7231957665674498,0.6627043611547453,0.18331455424588639,0.13398820034478098,0.7200644969584843
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'ref_m_mean_1', 'ref_m_mean_2', 'ref_m_mean_3', 'ref_m_mean_4']",0.8542122765774132,0.5084543779089234,0.1424986178812557,0.18781179311713483,0.7665589463207707,0.6085861744830647,0.16549004444658685,0.19946769361136427,0.7617622123410606
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'ref_m_mean_0', 'ref_m_mean_1', 'ref_m_mean_2', 'ref_m_mean_3', 'ref_m_mean_4']",0.8548969485241109,0.5072590298618912,0.1420177329217802,0.18993138570375054,0.7680054630811003,0.6066976932799476,0.164829260331642,0.2005921914335181,0.7626966636092719
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'vi_osavi_m_mean', 'vi_gi_m_mean']",0.8383392125014579,0.5354190991071114,0.14801740000072927,0.15106760537205186,0.7619753729343612,0.6145318710929771,0.16655218251157775,0.1597197816990181,0.7581886175037715
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'vi_pbi_m_mean', 'vi_msr_m_mean', 'vi_tcari_m_mean']",0.8487916426580588,0.5178207050295838,0.14236871519222308,0.17155836001009606,0.7709218916172862,0.602872201268749,0.16566396010879272,0.18733693812845725,0.7667473475009725
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol', 'vi_pbi_m_mean', 'vi_psnd_m_mean', 'vi_msr_m_mean', 'vi_tcari_m_mean', 'vi_gi_m_mean']",0.8525029356881539,0.5114264700756223,0.14051037197508087,0.1861153076323994,0.776356147159657,0.5956785303792962,0.16201660671974227,0.2023447760579512,0.7712384388566742
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'ref_h_mean_11', 'ref_h_mean_24', 'ref_h_mean_40', 'ref_h_mean_47', 'ref_h_mean_66']",0.8386827930460423,0.5348498286128557,0.15033295501267183,0.18987902044737484,0.7709128885203484,0.6028840480217609,0.15947724885555395,0.2101062777097434,0.7656706205231024
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'ref_h_mean_24', 'ref_h_mean_32', 'ref_h_mean_40', 'ref_h_mean_47', 'ref_h_mean_66']",0.8382823553240284,0.5355132460643242,0.15024137880723848,0.1864678590199678,0.7672042556338493,0.6077444242797734,0.15988112376751054,0.20869669799722632,0.7618771218954934
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_psnd_h_mean', 'vi_gi_h_mean']",0.8290361247480569,0.5506094878559703,0.15254726606320074,0.15569213274544677,0.7652521761619147,0.6102871871672777,0.16245511681474967,0.1677964950494128,0.7615175516917633
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_pbi_h_mean', 'vi_tcari_h_mean', 'vi_mcari_h_mean', 'vi_ndre_h_mean']",0.8410054852685793,0.5309854059486017,0.14717082346584695,0.18552109394891397,0.7825858714241636,0.5873234567812338,0.15395279607965762,0.20840315063327736,0.7781184578232903
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'vi_pbi_h_mean', 'vi_psnd_h_mean', 'vi_tcari_h_mean', 'vi_mcari_h_mean', 'vi_gi_h_mean', 'vi_ndre_h_mean']",0.8533721435483194,0.5099173120292168,0.14148753300953418,0.2016592155496075,0.7812726543292443,0.5890945515200173,0.15585672426983385,0.22594117292341917,0.7757543038650738
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'pca_h_0', 'pca_h_1', 'pca_h_2']",0.8403380557868438,0.5320987279145745,0.15021134130729039,0.18075425574986229,0.7754362407661775,0.5969023649551972,0.15882927775519143,0.19839851899483418,0.7713439626935793
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'fa_h_0', 'fa_h_1', 'fa_h_2']",0.8411475873988722,0.5307480674958046,0.15105505831447882,0.1805044502163639,0.774186904344312,0.598560463177991,0.1606000737445778,0.1996028052280481,0.7700718593209738
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'ica_h_0', 'ica_h_1', 'ica_h_2']",0.8405472394206385,0.531750044866344,0.1500806986649314,0.18087402783109857,0.7754024450665031,0.5969472786452188,0.15893709203717754,0.1985772810528388,0.7713095511269406
"['gdd', 'gdd_harvest', 'evap', 'evap_harvest', 'vol_lidar', 'plsr_h_0', 'plsr_h_1', 'plsr_h_2']",0.8339377237649239,0.5426589963244164,0.15179221279353847,0.17993706740299395,0.7662829922497538,0.6089457775337251,0.15656568932238607,0.20231729074393,0.7620239123818677
